pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,randomPaw,correctKeyPress,allowableKey,correctKey,correctKeyPressNum,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,correctKey,repetitionNumber,stimulusPresent.t,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,keyRespCorrect,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,9,9,9,,,,,['num_1'],10,0.0575068010949,0,"['num_7', 'num_4', 'num_1']",0,"[6.269655052572489, 6.8871870106086135, 8.169451688881963]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,9,9,9,,,,,['num_4'],10,0.0580196212977,1,['num_4'],0,[1.0688840178772807],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,9,9,9,,,,,['num_0'],10,0.0562862898223,0,"['num_7', 'num_0']",0,"[0.0003290250897407532, 1.1713384562171996]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,9,9,9,,,,,['num_0'],10,0.0547662912868,1,['num_0'],0,[1.9063344742171466],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,9,9,9,,,,,['num_4'],10,0.0520963459276,1,['num_4'],0,[1.3425759887322783],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,9,9,9,,,,,['num_1'],10,0.0611441298388,1,['num_1'],0,[1.0665599182248116],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,9,9,9,,,,,['num_0'],10,0.0559305977076,1,['num_0'],0,[1.3218633984215558],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,0,0,0,,,,,['num_7'],1,0.0499059897847,1,['num_7'],0,[39.56494043301791],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,0,0,0,,,,,['num_1'],1,0.0548983938061,1,['num_1'],0,[2.105404998641461],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,0,0,0,,,,,['num_4'],1,0.0486760423519,1,['num_4'],0,[1.3625127845443785],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,0,0,0,,,,,['num_0'],1,0.0501902969554,1,['num_0'],0,[0.7942898944020271],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,0,0,0,,,,,['num_0'],1,0.0545907020569,1,['num_0'],0,[0.9576685652136803],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,0,0,0,,,,,['num_4'],1,0.0544897788204,1,['num_4'],0,[6.640675724484026],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,0,0,0,,,,,['num_1'],1,0.056282597594,1,['num_1'],0,[1.1053516655229032],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
