pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,correctLocation,correctImage,repetitionNumber,stimulusPresent.t,responseTimeCorrect,pressLoc,responseTimeIncorrect,trialIncorrect,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,"(0.75, -0.04)",images/min4.png,6,0.0569185407512,0.561458641454,[ 0.6295754  -0.07291667],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,"(-0.25, -0.04)",images/min2.png,6,0.0916848854631,0.398169682801,[ 0.72181552 -0.02604167],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,"(0.25, -0.04)",images/min3.png,6,0.0571425406597,0.431165771828,[-0.26207906 -0.1640625 ],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,"(0.75, -0.04)",images/min4.png,6,0.0599310523376,0.408294806854,[ 0.22693997 -0.10677083],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,"(-0.75, -0.04)",images/min1.png,7,0.0562736179381,0.398741580004,[ 0.70424597 -0.09895833],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,"(0.25, -0.04)",images/min3.png,7,0.0531991576627,0.537492292311,[-0.6852123 -0.1796875],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,"(-0.25, -0.04)",images/min2.png,7,0.0609874621587,0.52298193929,[ 0.23572474 -0.00520833],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,"(0.75, -0.04)",images/min4.png,7,0.0593558730852,0.364550004288,[-0.21083455 -0.15625   ],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,"(0.75, -0.04)",images/min4.png,7,0.0537341318013,0.653655526705,[ 0.70131772 -0.02604167],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,"(-0.25, -0.04)",images/min2.png,7,0.0592044885307,0.480608213084,[ 0.82430454  0.02083333],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,"(0.25, -0.04)",images/min3.png,7,0.0540475675698,0.454092121397,[-0.26354319 -0.02083333],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,"(0.75, -0.04)",images/min4.png,7,0.0553218234563,0.450628738203,[ 0.24450952 -0.09635417],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,"(-0.75, -0.04)",images/min1.png,8,0.0607556673822,0.4285183883,[ 0.70424597 -0.08854167],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,"(0.25, -0.04)",images/min3.png,8,0.0538157727933,0.619324463865,[-0.6295754  -0.20052083],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,"(-0.25, -0.04)",images/min2.png,8,0.0552414132344,0.834297914134,[ 0.12152269 -0.0703125 ],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,"(0.75, -0.04)",images/min4.png,8,0.0594243858777,0.510770662248,[-0.28989751 -0.08333333],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,"(0.75, -0.04)",images/min4.png,8,0.0545497212097,0.568043664392,[ 0.64421669 -0.01041667],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,"(-0.25, -0.04)",images/min2.png,8,0.0596213088738,0.478341957603,[ 0.761347   -0.00520833],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,"(0.25, -0.04)",images/min3.png,8,0.0550777209937,0.417272033939,[-0.10688141 -0.0703125 ],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,"(0.75, -0.04)",images/min4.png,8,0.0537997728006,0.401411117369,[ 0.29868228 -0.04947917],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,"(-0.75, -0.04)",images/min1.png,9,0.0554178234179,0.630168767109,[ 0.73060029 -0.07552083],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,"(0.25, -0.04)",images/min3.png,9,0.0526092091859,0.417818495254,[-0.65446559 -0.14322917],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,"(-0.25, -0.04)",images/min2.png,9,0.0601948470994,0.89444845356,[ 0.27525622 -0.09375   ],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,"(0.75, -0.04)",images/min4.png,9,0.05767505326,0.515195275817,[-0.23718887 -0.0859375 ],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,"(0.75, -0.04)",images/min4.png,9,0.0540553624396,0.717762987584,[ 0.71449488 -0.04947917],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,"(-0.25, -0.04)",images/min2.png,9,0.0601530009626,0.477858675751,[ 0.63396779  0.01822917],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,"(0.25, -0.04)",images/min3.png,9,0.0564188486478,0.468023192607,[-0.2489019  -0.11458333],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,"(0.75, -0.04)",images/min4.png,9,0.0572303354948,0.449129661896,[ 0.23133236 -0.01041667],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,9,9,9,,,,,,,,,"(-0.75, -0.04)",images/min1.png,10,0.0527778245014,0.602805086028,[ 0.66178624  0.04947917],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,9,9,9,,,,,,,,,"(0.25, -0.04)",images/min3.png,10,0.0596643857789,0.513930455825,[-0.65300146 -0.23177083],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,9,9,9,,,,,,,,,"(-0.25, -0.04)",images/min2.png,10,0.0542034649425,0.618043233624,[ 0.32796486  0.06770833],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,9,9,9,,,,,,,,,"(0.75, -0.04)",images/min4.png,10,0.0554797721106,0.60246867591,[-0.2284041  -0.10416667],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,9,9,9,,,,,,,,,"(0.75, -0.04)",images/min4.png,10,0.0599893087219,0.579514839173,[ 0.63250366 -0.03125   ],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,9,9,9,,,,,,,,,"(-0.25, -0.04)",images/min2.png,10,0.0588709502063,0.529804500593,[ 0.64568082 -0.04427083],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,9,9,9,,,,,,,,,"(0.25, -0.04)",images/min3.png,10,0.0579790531374,0.482814981409,[-0.24597365 -0.14322917],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,9,9,9,,,,,,,,,"(0.75, -0.04)",images/min4.png,10,0.0533710550262,0.398337067349,[ 0.31771596 -0.01822917],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,images/allBlank.png,"['num_7', 'num_4', 'num_1', 'num_0']",['num_1'],num_1,[3],'num_1',images/min3.png,"[(0.45, 0.79)]",,,,,0,-1,-1,0,0,0,0,2,,,,,"(-0.75, 0.04)",images/min1.png,1,0.0326990635076,0.55670705366,[-0.23572474 -0.16145833],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
